data_hora,ativo,direcao,preco_entrada,stop_loss,take_profit,ticket
2026-04-06 12:51:16,EURUSD,COMPRA,1.15402,1.15252,1.15852,8068483562
2026-04-07 10:45:04,EURUSD,COMPRA,1.15599,1.15449,1.16049,8086222102
